golf_australia_url,golf_australia_name,golf_australia_course_info,course_id,holes
https://www.golf.org.au/carnamah-golf-club/,Carnamah Golf Club,"Golf Course ID: 67001,  18 hole",67001,18
https://www.golf.org.au/kdv-sport/,KDV Sport,"Golf Course ID: 9903,  0 hole",9903,0
https://www.golf.org.au/carramar-golf-course/,Carramar Golf Course,"Golf Course ID: 61004,  0 hole",61004,0
https://www.golf.org.au/carpentaria-golf-club/,Carpentaria Golf Club,"Golf Course ID: 40605,  18 hole",40605,18
https://www.golf.org.au/carinda-golf-club/,Carinda Golf Club,"Golf Course ID: 22406,  12 hole",22406,12
https://www.golf.org.au/cardwell-golf-club/,Cardwell Golf Club,"Golf Course ID: 40604,  18 hole",40604,18
https://www.golf.org.au/capricorn-country-club/,Capricorn Country Club,"Golf Course ID: 40306,  18 hole",40306,18
https://www.golf.org.au/capital-public-golf-course/,Capital Public Golf Course,"Golf Course ID: 25102,  0 hole",25102,0
https://www.golf.org.au/capella-golf-club/,Capella Golf Club,"Golf Course ID: 40202,  9 hole",40202,9
https://www.golf.org.au/canterbury-public-golf-course/,Canterbury Public Golf Course,"Golf Course ID: 29001,  0 hole",29001,0
https://www.golf.org.au/capel-golf-club/,Capel Golf Club,"Golf Course ID: 66804,  18 hole",66804,18
https://www.golf.org.au/canungra-area-golf-club/,Canungra Area Golf Club,"Golf Course ID: 40704,  9 hole",40704,9
https://www.golf.org.au/canberra-international-golf-centre/,Canberra International Golf Centre,0 hole,N/A,0
https://www.golf.org.au/campbell-town-golf-club/,Campbell Town Golf Club,"Golf Course ID: 76306,  9 hole",76306,9
https://www.golf.org.au/campbelltown-golf-club/,Campbelltown Golf Club,"Golf Course ID: 20209,  18 hole",20209,18
https://www.golf.org.au/capricorn-international-resort/,Capricorn International Resort,"Golf Course ID: 40305,  0 hole",40305,0
https://www.golf.org.au/camperdown-golf-club/,Camperdown Golf Club,"Golf Course ID: 30704,  18 hole",30704,18
https://www.golf.org.au/caragabal-country-golf-club/,Caragabal Country Golf Club,"Golf Course ID: 21303,  18 hole",21303,18
https://www.golf.org.au/camden-lakeside-country-club/,Camden Lakeside Country Club,"Golf Course ID: 20207,  18 hole",20207,18
https://www.golf.org.au/cammeray-golf-club/,Cammeray Golf Club,"Golf Course ID: 20208,  9 hole",20208,9
https://www.golf.org.au/campaspe-golf-club/,Campaspe Golf Club,"Golf Course ID: 30507,  18 hole",30507,18
https://www.golf.org.au/camden-golf-club/,Camden Golf Club,"Golf Course ID: 20306,  18 hole",20306,18
https://www.golf.org.au/cambrai-golf-club-inc/,Cambrai Golf Club Inc,"Golf Course ID: 50601,  9 hole",50601,9
https://www.golf.org.au/calivil-golf-club/,Calivil Golf Club,"Golf Course ID: 30506,  18 hole",30506,18
https://www.golf.org.au/calliope-golf-club/,Calliope Golf Club,"Golf Course ID: 40304,  9 hole",40304,9
https://www.golf.org.au/california-creek-country-club/,California Creek Country Club,"Golf Course ID: 41105,  0 hole",41105,0
https://www.golf.org.au/calingiri-golf-club/,Calingiri Golf Club,"Golf Course ID: 66002,  18 hole",66002,18
https://www.golf.org.au/calderwood-valley-golf-course/,Calderwood Valley Golf Course,0 hole,N/A,0
https://www.golf.org.au/cairns-golf-club-qld/,Cairns Golf Club (QLD),"Golf Course ID: 40603,  9 hole",40603,9
https://www.golf.org.au/cabramatta-golf-club/,Cabramatta Golf Club,"Golf Course ID: 20206,  18 hole",20206,18
https://www.golf.org.au/byron-bay-golf-club/,Byron Bay Golf Club,"Golf Course ID: 22002,  18 hole",22002,18
https://www.golf.org.au/bute-golf-club/,Bute Golf Club,"Golf Course ID: 51302,  9 hole",51302,9
https://www.golf.org.au/caboolture-golf-club/,Caboolture Golf Club,"Golf Course ID: 41304,  9 hole",41304,9
https://www.golf.org.au/cadoux-golf-club/,Cadoux Golf Club,"Golf Course ID: 64005,  18 hole",64005,18
https://www.golf.org.au/burnley-golf-course/,Burnley Golf Course,"Golf Course ID: 30237,  0 hole",30237,0
https://www.golf.org.au/burra-golf-club/,Burra Golf Club,"Golf Course ID: 50504,  18 hole",50504,18
https://www.golf.org.au/busselton-golf-club/,Busselton Golf Club,"Golf Course ID: 66803,  18 hole",66803,18
https://www.golf.org.au/burnie-golf-club/,Burnie Golf Club,"Golf Course ID: 76405,  9 hole",76405,9
https://www.golf.org.au/burleigh-west-golf-driving-range/,Burleigh West Golf Driving Range,0 hole,N/A,0
https://www.golf.org.au/burleigh-palms-golf-club/,Burleigh Palms Golf Club,"Golf Course ID: 40703,  18 hole",40703,18
https://www.golf.org.au/burleigh-golf-club/,Burleigh Golf Club,"Golf Course ID: 40707,  4710 hole",40707,4710
https://www.golf.org.au/bundoora-park-golf-course/,Bundoora Park Golf Course,"Golf Course ID: 32105,  0 hole",32105,0
https://www.golf.org.au/bundy-bowl-and-leisure-complex/,Bundy Bowl and Leisure Complex,0 hole,N/A,0
https://www.golf.org.au/bundarra-golf-club/,Bundarra Golf Club,"Golf Course ID: 21702,  9 hole",21702,9
https://www.golf.org.au/bunbury-golf-club/,Bunbury Golf Club,"Golf Course ID: 66802,  18 hole",66802,18
https://www.golf.org.au/bulleen-golf-driving-range/,Bulleen Golf Driving Range,0 hole,N/A,0
https://www.golf.org.au/bulahdelah-golf-club/,Bulahdelah Golf Club,"Golf Course ID: 21401,  9 hole",21401,9
https://www.golf.org.au/bundaberg-golf-club/,Bundaberg Golf Club,"Golf Course ID: 41403,  9 hole",41403,9
https://www.golf.org.au/buchan-valley-golf-club/,Buchan Valley Golf Club,"Golf Course ID: 30902,  18 hole",30902,18
https://www.golf.org.au/broome-golf-club/,Broome Golf Club,"Golf Course ID: 67101,  18 hole",67101,18
https://www.golf.org.au/brookwater-golf-and-country-club/,Brookwater Golf and Country Club,"Golf Course ID: 40813,  15 hole",40813,15
https://www.golf.org.au/bruce-rock-golf-club/,Bruce Rock Golf Club,"Golf Course ID: 66602,  18 hole",66602,18
https://www.golf.org.au/broomehill-golf-club/,Broomehill Golf Club,"Golf Course ID: 66902,  18 hole",66902,18
https://www.golf.org.au/broken-hill-golf-and-country-club/,Broken Hill Golf and Country Club,"Golf Course ID: 20730,  18 hole",20730,18
https://www.golf.org.au/brookton-golf-club/,Brookton Golf Club,"Golf Course ID: 65002,  18 hole",65002,18
https://www.golf.org.au/buninyong-golf-club/,Buninyong Golf Club,"Golf Course ID: 30407,  18 hole",30407,18
https://www.golf.org.au/burcher-golf-club/,Burcher Golf Club,"Golf Course ID: 21302,  9 hole",21302,9
https://www.golf.org.au/broadford-golf-club/,Broadford Golf Club,"Golf Course ID: 30803,  18 hole",30803,18
https://www.golf.org.au/brisbane-golf-club/,Brisbane Golf Club,"Golf Course ID: 40102,  36 hole",40102,36
https://www.golf.org.au/brim-golf-club/,Brim Golf Club,"Golf Course ID: 32004,  9 hole",32004,9
https://www.golf.org.au/bridgetown-golf-club/,Bridgetown Golf Club,"Golf Course ID: 65103,  18 hole",65103,18
https://www.golf.org.au/bribie-island-golf-club/,Bribie Island Golf Club,"Golf Course ID: 41303,  18 hole",41303,18
https://www.golf.org.au/brewarrina-district-golf-club/,Brewarrina District Golf Club,"Golf Course ID: 22405,  18 hole",22405,18
https://www.golf.org.au/bridport-golf-club/,Bridport Golf Club,"Golf Course ID: 76304,  9 hole",76304,9
https://www.golf.org.au/bridgewater-on-loddon-golf-club/,Bridgewater-On-Loddon Golf Club,"Golf Course ID: 30505,  18 hole",30505,18
https://www.golf.org.au/bremer-bay-golf-club/,Bremer Bay Golf Club,"Golf Course ID: 66703,  18 hole",66703,18
https://www.golf.org.au/branxton-golf-club-nsw/,Branxton Golf Club (NSW),"Golf Course ID: 21102,  9 hole",21102,9
https://www.golf.org.au/braidwood-servicemens-golf-course/,Braidwood Servicemens Golf Course,"Golf Course ID: 20603,  9 hole",20603,9
https://www.golf.org.au/boyup-brook-golf-club/,Boyup Brook Golf Club,"Golf Course ID: 65102,  18 hole",65102,18
https://www.golf.org.au/boyne-island-tannum-sands-golf-club/,Boyne Island Tannum Sands Golf Club,"Golf Course ID: 40303,  13 hole",40303,13
https://www.golf.org.au/botany-golf-club/,Botany Golf Club,"Golf Course ID: 20305,  9 hole",20305,9
https://www.golf.org.au/borden-golf-club/,Borden Golf Club,"Golf Course ID: 66701,  9 hole",66701,9
https://www.golf.org.au/boort-golf-club/,Boort Golf Club,"Golf Course ID: 31203,  18 hole",31203,18
https://www.golf.org.au/boorowa-golf-club/,Boorowa Golf Club,"Golf Course ID: 22303,  9 hole",22303,9
https://www.golf.org.au/boorhaman-golf-club-inc/,Boorhaman Golf Club Inc,"Golf Course ID: 31406,  9 hole",31406,9
https://www.golf.org.au/boomerang-public-golf-course/,Boomerang Public Golf Course,0 hole,N/A,0
https://www.golf.org.au/bowraville-golf-club/,Bowraville Golf Club,"Golf Course ID: 21503,  9 hole",21503,9
https://www.golf.org.au/boomerang-farm-golf-course/,Boomerang Farm Golf Course,"Golf Course ID: 40702,  9 hole",40702,9
https://www.golf.org.au/boonah-golf-club/,Boonah Golf Club,"Golf Course ID: 40801,  18 hole",40801,18
https://www.golf.org.au/booleroo-centre-golf-club/,Booleroo Centre Golf Club,"Golf Course ID: 50702,  9 hole",50702,9
https://www.golf.org.au/box-hill-golf-club/,Box Hill Golf Club,"Golf Course ID: 30102,  18 hole",30102,18
https://www.golf.org.au/boolbardie-country-club/,Boolbardie Country Club,"Golf Course ID: 64003,  9 hole",64003,9
https://www.golf.org.au/bonville-golf-resort/,Bonville Golf Resort,"Golf Course ID: 21502,  18 hole",21502,18
https://www.golf.org.au/bonalbo-golf-club/,Bonalbo Golf Club,"Golf Course ID: 22019,  9 hole",22019,9
https://www.golf.org.au/bondi-golf-club/,Bondi Golf Club,"Golf Course ID: 20304,  9 hole",20304,9
https://www.golf.org.au/boggabri-golf-club/,Boggabri Golf Club,"Golf Course ID: 22103,  9 hole",22103,9
https://www.golf.org.au/bogan-gate-golf-club/,Bogan Gate Golf Club,"Golf Course ID: 21301,  9 hole",21301,9
https://www.golf.org.au/bolgart-golf-club/,Bolgart Golf Club,"Golf Course ID: 66001,  18 hole",66001,18
https://www.golf.org.au/blyth-golf-club/,Blyth Golf Club,"Golf Course ID: 50503,  18 hole",50503,18
https://www.golf.org.au/blayney-golf-club/,Blayney Golf Club,"Golf Course ID: 20902,  9 hole",20902,9
https://www.golf.org.au/blackwood-golf-club/,Blackwood Golf Club,"Golf Course ID: 50201,  18 hole",50201,18
https://www.golf.org.au/blackwater-golf-club/,Blackwater Golf Club,"Golf Course ID: 40201,  18 hole",40201,18
https://www.golf.org.au/blackheath-golf-club/,Blackheath Golf Club,"Golf Course ID: 20701,  18 hole",20701,18
https://www.golf.org.au/blackbutt-golf-club-inc/,Blackbutt Golf Club Inc,"Golf Course ID: 41302,  9 hole",41302,9
https://www.golf.org.au/blackall-golf-club/,Blackall Golf Club,"Golf Course ID: 40403,  9 hole",40403,9
https://www.golf.org.au/black-light-mini-golf/,Black Light Mini Golf,0 hole,N/A,0
https://www.golf.org.au/birchip-golf-club/,Birchip Golf Club,"Golf Course ID: 31202,  18 hole",31202,18
https://www.golf.org.au/binningup-golf-club/,Binningup Golf Club,"Golf Course ID: 64020,  0 hole",64020,0
https://www.golf.org.au/black-springs-golf-club/,Black Springs Golf Club,"Golf Course ID: 40922,  9 hole",40922,9
https://www.golf.org.au/binnaway-golf-club/,Binnaway Golf Club,"Golf Course ID: 22403,  0 hole",22403,0
https://www.golf.org.au/binnu-golf-club/,Binnu Golf Club,"Golf Course ID: 66301,  9 hole",66301,9
https://www.golf.org.au/bingara-sporting-club/,Bingara Sporting Club,"Golf Course ID: 21902,  9 hole",21902,9
https://www.golf.org.au/binalong-golf-club/,Binalong Golf Club,"Golf Course ID: 22302,  18 hole",22302,18
https://www.golf.org.au/biloela-golf-club/,Biloela Golf Club,"Golf Course ID: 40302,  9 hole",40302,9
https://www.golf.org.au/biggenden-golf-club/,Biggenden Golf Club,"Golf Course ID: 41402,  18 hole",41402,18
https://www.golf.org.au/big-buzz-fun-park/,Big Buzz Fun Park,0 hole,N/A,0
https://www.golf.org.au/beverley-park-golf-club/,Beverley Park Golf Club,"Golf Course ID: 20204,  18 hole",20204,18
https://www.golf.org.au/big-easy-golf/,Big Easy Golf,0 hole,N/A,0
https://www.golf.org.au/bethanga-&-district-golf-club/,Bethanga & District Golf Club,"Golf Course ID: 31405,  9 hole",31405,9
https://www.golf.org.au/bexley-golf-club/,Bexley Golf Club,"Golf Course ID: 20205,  18 hole",20205,18
https://www.golf.org.au/birregurra-golf-club/,Birregurra Golf Club,"Golf Course ID: 30703,  9 hole",30703,9
https://www.golf.org.au/beverley-golf-club/,Beverley Golf Club,"Golf Course ID: 65001,  18 hole",65001,18
https://www.golf.org.au/berriwillock-golf-club/,Berriwillock Golf Club,"Golf Course ID: 31201,  9 hole",31201,9
https://www.golf.org.au/berrigan-golf-and-bowling-club/,Berrigan Golf and Bowling Club,"Golf Course ID: 22501,  18 hole",22501,18
https://www.golf.org.au/berri-golf-club/,Berri Golf Club,"Golf Course ID: 50902,  18 hole",50902,18
https://www.golf.org.au/bermagui-country-club/,Bermagui Country Club,"Golf Course ID: 21002,  18 hole",21002,18
https://www.golf.org.au/beresfield-golf-course/,Beresfield Golf Course,"Golf Course ID: 21816,  18 hole",21816,18
https://www.golf.org.au/bendigo-golf-club/,Bendigo Golf Club,"Golf Course ID: 30504,  18 hole",30504,18
https://www.golf.org.au/bencubbin-golf-club/,Bencubbin Golf Club,"Golf Course ID: 67201,  18 hole",67201,18
https://www.golf.org.au/bembridge-public-golf-course/,Bembridge Public Golf Course,0 hole,N/A,0
https://www.golf.org.au/belmont-golf-club/,Belmont Golf Club,"Golf Course ID: 21801,  18 hole",21801,18
https://www.golf.org.au/benalla-golf-club-vic/,Benalla Golf Club (VIC),"Golf Course ID: 31404,  18 hole",31404,18
https://www.golf.org.au/bellingen-golf-club/,Bellingen Golf Club,"Golf Course ID: 21501,  9 hole",21501,9
https://www.golf.org.au/belvoir-park-golf-club/,Belvoir Park Golf Club,"Golf Course ID: 30503,  18 hole",30503,18
